formula,target
IrS2Cl3O7,0.4744000000000002
Cs2SiP2,1.27
SbH3SO6,4.400499999999999
SiBH3CNCl3,4.9156
NbSbO4,2.4311000000000003
SrLiTi4CrO11,2.2290999999999994
BaTeS3,1.9088000000000005
Nd4GeO8,3.5008
MgAlBO4,6.0077
Tl2FeH12(SO7)2,3.9132
K3NdI6,3.1746
K2Mn3(AsO4)3,0.15250000000000008
NaInH12(SeO7)2,3.4472
Rb2NaCo(CN)6,4.3389000000000015
Ca3Fe2Cl2O5,1.0816
Zn(IrO2)2,0.5271999999999997
Na8Gd2O7,1.8545000000000005
Ba5La2Cl16,4.2429
Hg3(ClO)2,0.6363
LiCr3P3O13,0.0906
SnPCl9,2.4621
Mg12Fe4C2O47,0.2206
Ca2AlCrO5,2.2706000000000004
Na2Sr(Ge4O9)2,2.9682000000000004
Na4WO5,3.8015
YbOF,2.1587
Li4Ti4Fe5O18,0.17710000000000026
Na11(CoO2)13,0.009500000000000064
K2Sm2As2Se9,1.1005
Ca10V3P3(O12F)2,3.8039000000000014
Cs2KNa,0.12740000000000018
Sr2Ti2GaO7,0.1495000000000002
Li4Mn3CoCu2(PO4)6,0.034399999999999764
K2RbSbBr6,2.8386000000000005
Sn(CCl)2,3.8769
H4CS(NO)2,3.0273
Sr3EuRhO6,0.03649999999999976
NaSbO2,1.4609999999999999
MnCdRh2,0.020700000000000163
Y(WF5)3,3.4277
KYb(SO5)2,0.002299999999999969
Rb2Zr(MoO4)3,3.5554
Sr24Ni19O54,0.4546000000000001
MoH8S2(NO)2,2.1419
BaY6Si3B6(O12F)2,5.2315000000000005
Sm(IO3)3,3.6031
Y2Te3MoO12,2.9765
TlCdF3,3.7002
Ca5As3CO12,0.6702000000000004
LiEu4C3(IN2)3,0.4205999999999994
B(HC)2,0.2138
La2NCl3,3.4185
CsRb2ScF6,5.7561
LiHo6B3O14,4.8061
CuAgGeSe3,0.09719999999999997
CsZn3(PO4)3,0.0050999999999999926
KLiLu2(MoO4)4,3.1915
Li35(FeO4)8,0.1133
Rb2U3P4H4O19,1.6963
TbEu2TaO6,0.5703999999999994
K2LiTe2,0.00010000000000021103
Ca4Al6WO16,3.9812
Li4V3Ni3(SbO8)2,0.4476
CsAgH12C4S4(NO4)2,4.1893
CrCo4SbO8,0.9448
NaClO4,5.4553
Ca(DyS2)2,2.1664000000000003
KNaZr2Be(PO4)4,2.6611
CaCd6,0.03560000000000008
Rb3InCl6,3.5957
Ba3(LiAs)4,0.2653000000000003
KBa4Ti5O14F,1.3418
Ba2Cr7O14,0.002600000000000157
Li2Co(NiO3)2,0.2599999999999998
Ca3Cu2(SiO4)3,0.3128000000000002
Ca5V3O13,0.5764
Cs5SiP3,0.8416000000000001
LuCuSe2,1.1077000000000004
SrLaFeSnO6,2.1642
C(SN)2,0.5421
MnH2Cl2O,3.9492
Na3NiBPO7,0.20890000000000009
Fe3C8(Br2N)8,1.2489
BaRe2H2O9,3.8947
Gd2CdO4,1.6159999999999999
CdPNO5,2.4112
Al2Os,0.3032000000000004
Na11B21(BrO18)2,4.5335
Ca2AgSbO6,0.5964
Li2Mn3ZnO8,1.5421
LaGd(BrO)2,2.696400000000001
CaNb2O4,1.2833000000000006
Li3Cr(Si2O5)3,3.7775
BaB2F8,8.043
Cs2Na3TlO4,1.4570000000000003
AlTlO2,2.1963000000000004
CaAl2F10,0.4823999999999997
Li4Mn2Nb3Cr3O16,0.10729999999999996
UCd(PbO3)2,1.6558000000000002
PdC2S2(O4F)2,2.4461
K2LiLaCl6,4.5201
K2PbBr4O,0.7369
La8Al7InO24,3.3008000000000006
Na11Mn24O48,0.043099999999999916
CuH12C5S4N,1.6568999999999998
NaScP2O7,4.845700000000001
CaTeO3,2.9142
In2GaBiS6,1.8452
Cu6MoC20S4N5Cl9,0.08750000000000002
NbSb3O8,1.8179
Mg3Fe4(MoO4)6,1.1707
Li2CrCl4,0.5017999999999998
Ag5Hg4P8Cl5,0.977
BaCu2(PO4)2,0.3490999999999997
HoAgTe2,0.9017999999999996
Cs4Ga2Se5,2.1171
Rb2U(ClO)4,0.6378
Er6Fe23,0.003600000000000492
LuIO9,0.4751
CsZnFeF6,2.667
Zn4Si2H2O9,3.1209
VH7N2O5,2.5029
Cu7Se2(Cl3O4)2,0.02179999999999982
Sr3GaO4F,3.6831
Li3Fe4WO8,1.1457000000000002
CsNa5(FeO3)2,2.1929
KRb2ScBr6,3.2201
PdRh(NO)10,0.30909999999999993
Lu3Ga5O12,2.3544
K2NaH10IO10,2.5046
DyCuSeO,1.1804000000000006
Ba6Yb6Al13Si11N29O13,0.009000000000000341
RbHF2,6.6658
Zn(H3C)2,4.2331
ScCu(WO4)2,1.0592000000000006
KRbMnV2O7,2.5955000000000004
GaBr2,3.1591
Te3W2Se,0.30849999999999955
La7SmCrFe7O24,0.8422000000000001
K2SbF5,4.66
CaHo(MoO3)2,1.1409000000000002
Sr3SbP,1.0247000000000002
Tl3PbI5,2.6249
Cs4Fe2O5,1.9052
CaH20C4S4(NO6)2,5.6987
PmCl3,3.5399
I3N,1.3126
Cs2V2H2O7,3.0863
Sm2Ag2O5,0.002800000000000136
Mn5V2(HO3)4,1.7199
LiUPO6,2.1007
Ca5(SiN3)2,2.1605
Li6MnSn3(PO4)6,2.5692
Na3DyBr6,4.2259
Si48O107,0.9548
Ca4TiSi4Sn3O20,3.1671
AgBi3S5,0.5219999999999994
Ca3Cu3(PO4)4,0.6006
H9CN9,4.5312
Sr(SmS2)2,2.1281
Si2MoO6,1.7126
Ti7Al2O15,9.999999999976694e-05
Ba2LuB2ClO6,4.1226
H8C2S3(NO3)2,5.7914
NaAlH4,4.6648
KMnBr3,1.7869
AlH15Br3N5,3.9898
Ba3NaNbO6,3.0766
K2Co(SO5)2,0.6687000000000001
K5Mo6IO29,0.7904
BaCaFeF7,3.8826
Cs2TeH6(ClO3)2,3.2548
Ba5Cr3F18,1.4330999999999998
Rb3YBr6,3.8703
Hf2Sb3,0.1841
Gd2TiO5,2.9502
Be(B3H8)2,3.4994
Er(ClO2)3,2.4278
DyClO,4.5459000000000005
SnH12C6(NO2)2,4.2371
KH2C4N3O4,1.5862
TaPCl10,2.3345
KCrC4O13,0.20600000000000007
Rb2AlTlCl6,3.7301
AlAgAu2,0.02519999999999989
Fe2Te2Ru2(CO)11,1.6949
Zr2TeBr12,2.4198
SrCaTiMnO5,0.8357999999999999
SmPaO4,2.7707999999999995
CsSm2Cl7,4.4735000000000005
NdFeC6(N3O2)2,1.6983
Li5FeO3F2,2.7841
TlP3(NO6)2,0.008000000000000007
Zr(IO3)4,3.1751
Sr20P12Br(ClO16)3,5.0231
ZnBr6,0.11960000000000015
LiCoO2,2.1503000000000005
Rb2NaIrF6,2.0732
Cs2KLuCl6,5.126200000000001
Rb2ErCl5,4.931
Li8Bi2PdO10,0.8559999999999999
Cs2InGaF6,3.3138
Yb2Br2O,1.2571000000000003
Mg30GaBO32,2.1315999999999997
Rb2CuBiBr6,0.6343000000000001
H5NF2,6.8966
ZnFe(Si2O5)2,3.3825000000000003
SiW12C16(NO10)4,2.0944000000000003
Na3SbSe4,0.9766
Ba(MnP)2,0.001100000000000101
LiMn2(CoO4)2,0.20630000000000007
HgC6(IN2)2,0.9459
Ba2GdNbO6,2.6514
SrMg30VO32,2.1207
KSi,1.2619000000000002
Sc2Al4(CO)3,0.17240000000000055
Mn5VO8,0.4582999999999999
Th2BPO8,4.5264
CeP4NO12,0.9493999999999998
SrFe2S2O,1.9677
CrCoO4,1.4983
K6W4CO29,0.06500000000000006
VPH5O7,1.9728
Ti3Fe(BiO3)5,2.0332
Mg149Sn,0.4181000000000004
U(HO2)2,2.4873000000000003
Y4TiSn3O14,2.1989000000000005
CsPr(WO4)2,3.5343
SrIn2(PO4)4,0.00450000000000006
CsNb3SBr7,0.0040000000000000036
Li2MnCoO4,0.8340999999999998
LiNbCoO4,2.2355
La5B4N9,1.3068
YbSnF7,0.9803
Sr2ErMoO6,1.2340999999999998
Sr4Bi6Se13,0.4887000000000001
TbHoO3,4.4709
Sr2CaCu6(BO3)6,0.2361
EuSbAu,0.049000000000000384
BaNaNdSi2O7,4.4466
MoPNCl6O,2.1536
Li2RuF6,0.0398
KCuTeO6,0.7739
CaMn3P3O13,0.3416000000000001
AlCuAsO5,0.4567999999999999
Si2H6O,5.2626
Li4MnSn(WO6)2,1.0090000000000003
Ca2MnWO6,2.3282000000000003
SrSn(PO4)2,3.6041
Li10Si(PSe6)2,1.4633
Mg3(AsO4)2,3.6575
HfMgN2,1.6720000000000006
Na6FeO4,0.6261000000000001
YMg30NiO32,1.4345000000000008
K3AsSe3,2.1092
K2GdCl5,2.5502
NiH5CN(ClO)2,3.4064
Na5Nd4Si4O16F,4.5310000000000015
Cs3As(PSe3)3,1.7605
V12O29,0.5361
Ni3O4,0.3815
SrMgCd2,0.2514000000000001
LuN,0.24209999999999976
Rb2NaLuCl6,5.0464
Dy2MnNiO6,1.7624999999999995
Ca2BiAsO6,3.2393
Mg30FeCO32,2.3954000000000004
LiSiBi3O7,2.9754000000000005
Cs3Cr2Br9,1.3066
Y2Si3N4O3,2.7943
BaCu(SiO3)2,0.3643000000000001
Pr(WO4)2,0.0574
Zn(AsO2)2,3.5391000000000004
K3ScCl6,4.029999999999999
Li6Ti(BO3)3,0.025700000000000056
BaZnNiF7,1.3279
Ba2Si,0.000500000000000167
CaCr3(P2O7)2,2.2481
AuSCl5,1.7517999999999998
Rb2NaScBr6,3.0969
Ca3Cr2(SiO4)3,3.2229
CsDyS2,2.2247
K2V2CoO7,2.4697
SmP2H16C6NO13,3.6494
KCa2Nb3O10,1.9568
BaCl2O11,0.8285
Li4VFe(TeO6)2,1.2719
K2TlSbCl6,1.541
Li4CrCo5O12,0.14769999999999994
Rb2PrAgCl6,3.4447
K3Cr(CN)6,1.8010000000000002
Ca2MnO4,0.371
KNaNb2O6,1.9746
Na5(AsO9)2,0.3743
Sr4Nb2O9,3.6457
CsMo4(PO4)7,2.5434
RbNbSiO5,3.2067
Li4Ca2B16(H2O5)7,5.096
CsH2CN5,4.058199999999999
BaMnP2O7,3.8394
LiMg14AlO16,4.664599999999999
NaVF4,2.0363
Ho2CuAs3,0.16930000000000026
Li2Mg2Si4O11,4.9276
K8Th(MoO4)6,3.9442
LaSeO3F,3.7498
Li2MnP2HO8,1.1661
CaAl2B2O7,4.8231
EuEr2O4,0.13809999999999967
Tl6PbI10,1.2149
Rb2Ge(S2O7)3,3.8051
KBe2BO3F2,6.0552
RbLiBi2(MoO4)4,2.9643
MgCoSiO4,2.6754
Fe(Bi5O8)5,0.7234999999999996
Zn2Cr3FeO8,2.0618
RbCuPdSe5,0.9872
Fe13(SnO10)2,0.9284999999999995
Cd5Bi6(Cl3O2)4,2.4908
Zn2B2PbO6,3.3262
GdH12(ClO2)3,3.1176
Ta3I7,0.8864000000000001
CaB3H5O8,5.5945
Na2TlAs,0.005100000000000104
UH25C12NO8,2.3945
Lu4CdNi,0.05369999999999964
K4Ti2H2O5F8,2.6383
LiMo2(PO4)3,1.3906000000000005
K2LaP2Se7,1.4926
NiSn(PO4)2,2.7113000000000005
ReSF4,0.4973
RbNa10Al11Si13O48,2.5018
Sm2(SO4)3,5.5128
Li6MnCoP2(CO7)2,2.0074000000000005
FeH8(ClO2)2,3.8562
Li2Cr4P4O15,2.0709000000000004
K2NaBiI6,2.1103
Li2V3NiO8,1.6475999999999995
Li2PtF6,2.4927
La10S14O,1.9411
La3(MoO5)2,1.7002999999999997
Li3Fe2CoO6,0.4305999999999997
RbBi2Br7,2.8609
CsNd2Ti2NbO10,1.5095
FeCo9O20,0.3526
KNd(CO3)2,4.3598
CuH10(ClO6)3,0.04590000000000005
Ba3MgGeN4,1.2902
Li2CrSiO5,0.2587999999999999
K3AlCl6,4.4689
Li4MnFe3O8,1.0999000000000003
AsSe3(ClF2)3,1.9563
BaMn9V6O26,0.00790000000000024
K4Ti3Ni(PO4)6,2.2979
HoLuO3,4.5867
KYb2Cd2Sb3,0.047400000000000116
Tb2S2O,2.5113000000000003
Cs2B12HF12,2.5329
Ba(NdSe2)2,1.5999
K2ScAuBr6,1.5992
CsRb2GaCl6,3.5534
Li3Sc2(PO4)3,4.7407
Tb12Ge5S28,0.9990000000000001
Mg30NiBiO32,1.5705999999999989
Ca3TiAl2Si3O13F2,3.0993
ErGeBiO5,3.3459000000000003
LaSc3(BO3)4,4.2334
Sm3Si2Cl5O6,4.6078
Zn3W2O7,1.9405000000000008
NaSbWO6,2.6928
Hg3AsSe4I,1.2214
RbHS,3.0784
RbB6S2(Cl3O2)2,1.7797
Li3NiAsCO7,3.3239
Tb(AlCl4)3,4.2153
Si3C10NO7,0.2073
ErScS3,1.8411
Rb2CrCl5O,0.9255
ReIr2(NCl)10,0.036499999999999984
Li3V(CO3)3,2.9532
Cs3Bi2Cl9,3.2297
Rb2Na(NO3)3,2.9986
Ca4SnS6,1.8132
Na3Mn5(Ge3O10)2,0.3664000000000001
BaU(SeO4)2,0.09729999999999994
Cs2Ta6PbCl18,1.4561000000000002
Li7(NiO2)9,0.3557000000000001
BaCu6(GeS4)2,0.7574999999999994
CsCuBr3,0.3732
Ce4ZrO10,1.763
BaMg30AlO32,0.35110000000000063
NdS3(NO4)3,0.0112000000000001
SrU(PS4)2,0.01949999999999985
Co23O32,0.3022999999999998
Fe7(SiO4)4,1.6642
LiNiBO3,3.0096
Mn3Co3(CuO8)2,0.06909999999999994
NaBiCSO7,3.7245
Rb3CrF7,0.7833
Si3CCl8,4.5168
AsSeS2N2ClF6,2.2262
Na6TlSb4,0.007400000000000073
YCO4,0.7335000000000002
SbSO4F3,1.8163
RbMo3Cl7,2.5644
K2Mg(SO6)2,0.012000000000000007
Co2(SO4)3,0.4141
HoBiO3,3.1316
AlIn3(CuSe2)4,0.043099999999999916
Ca3Si4(BiO7)2,2.8763
Ba9Nb2CN10O,1.7837999999999998
CaH2C2O5,3.5377
CsLaZr6CCl18,1.4191000000000005
Pr2NCl3,3.3932
LaVCrO6,0.3919000000000006
KH8WN2(OF)3,3.851
Sr8Ga16S31,1.8663
RbIn(PO4)2,0.25110000000000005
Mg30ZnCO32,2.9424
LiV(Si2O5)3,2.0867
Na3Ti2P2O10F,3.1952
H9C3SN4O3,3.0983
Y9U5O28,0.03350000000000008
Rb2ErAgCl6,3.5262
AcOF,4.2566000000000015
Yb2Zn25Rh,0.002200000000000202
Na3SiTe3,1.9235999999999995
Ag2H2IOF,1.456
W7(OF5)6,3.4979
H10C5S2N2(O2F3)2,5.8112
Ca2Sn3S8,1.0390000000000001
Cs4Sb2O5,2.5747
PtCl2,1.8227
Fe(SeO3)3,0.672
SrTl2O4,0.08289999999999997
Nd4Cu2O7,1.6683
Sn(HgSe2)2,0.2722
LiVTe2WO12,1.2441
LiPH2O3,6.9796
K4MoS3O14,2.7201
BaH4(CO2)3,4.6433
Li4Mn3Fe3(PO4)6,0.42500000000000027
Li5NiP3O11,3.5263
K4Hf3Te17,0.9113000000000002
Li3ZnFe2(PO4)3,3.5529
Ba7Ga4Sb9,0.18219999999999992
Mn3OF8,0.4521000000000001
NaH2N,1.9459
La2VZnO6,1.6868
RbSr2Nb3O10,1.4646
CsTlO,1.5131
KNa3Al4(SiO4)4,4.5052
LiY2In,0.2458
YbMoClO4,2.3301
BaBePO4F,6.0427
Mo3S13N2O,0.1614
Na2P2O13,0.96
NaMg3Si4O11F,3.6561
BaNaAlF6,6.981
K2RbScF6,5.8456
NdAl3(PbO4)2,2.9857
Li4Mn2V3Cr3O16,0.4346000000000001
Cs2CdP2O7,3.3560000000000003
W2CCl8,1.2971
KRbMg14O15,2.014
LiSnB,0.2118000000000002
Ba2Ca(PdO2)3,1.2944000000000004
Sr2V11NiO22,0.7138
Li4CrF6,3.0117
Tl7Bi3I16,2.2654
Er3OF10,0.040899999999999936
Sr3La21Zn2(Cu5O24)2,0.05939999999999921
Nd2WO6,3.7285
Nd10S19,0.5009000000000006
Cs2Pr10Os2I17,0.005700000000000038
Cs2PtC2(OF)4,2.4733
BaZnTe2O7,1.6718999999999995
HClO4,4.8339
CsCd4As3,0.21619999999999973
Tl6Si2O7,1.5876
FeH12(NF2)3,4.1708
Sb2SeI2F11,1.4002
Ho2Be2GeO7,4.4262
RbNaO,1.9856
KMo2(P2O7)2,1.1162
ZnP2WO7,1.4878999999999998
Te6MoI3,1.0182999999999995
TlAgAs2PbS5,1.5879999999999996
Ca4LaB3O10,4.2993000000000015
Cs2RuO4,0.5834000000000001
SrGaCu2,0.0987
CsAg2I3,2.2789
H7C2N7O6,2.1313
Li3Al2,0.2427000000000001
Li2TiCo2O5,1.5688
Fe2CoAs2(H5O7)2,1.6487
BeZnO2,2.6554
SrNd2Fe2O7,0.6861000000000006
LiCaN,1.3784999999999998
Lu2Sn2O7,2.6065
KNd2Br5,0.4325000000000001
Rb2NaGaCl6,2.7465
KPtBr3N,0.0121
Al11TlO17,4.5851000000000015
SrMg30NiO32,4.2414
Rb3TiF7,3.037
Bi2S2O,1.0006999999999993
U(GeRh)2,0.0011999999999998678
Na2LiAlF6,6.545999999999999
KCoPH2O5,2.7927
Pr10S19,0.5101000000000004
BaNb6HO16,1.6273
KCaCr2F9,2.9845
Ba3MgTaNbO9,2.8733
KSmH2S2O9,5.5076
AsH2C2NCl2O,0.4762
TaTe4Cl4O,1.1516000000000002
Li2Co(CO3)2,2.8996
NaGe,0.6651999999999998
Na3Ce2C4O12F,0.25009999999999977
Ni5(PO4)4,0.0441999999999998
Ba6Ca6Mg(CO3)13,4.5986
Cs2Te(H3O5)2,1.5833
CsSmSiS4,2.8414
Tb2Te3,0.5430000000000001
Sr20P12Br3ClO48,4.9583
Sc7CoI12,0.2411000000000003
K4Sb2N3O9F7,2.9160000000000004
BaMn2Si2O7,2.6446000000000005
FePH3CO7,1.0225
Hg4BiSe2Cl5,2.349
K14In4O13,1.8378
V4Ge13O36,0.9701
C3IN,2.0242
Sr3CaI8,2.9311000000000003
HoTlSe2,2.1744000000000003
Cs2RbInI6,1.3972
Ca(InP)2,0.4033999999999995
H16RhN5(ClO4)2,3.6608
K2U2WO10,1.8912
TlGaBr4,3.5506
UH14(NO2)4,2.2385
Re3Se4Cl,1.1639
NaO3,0.5780000000000001
RbVSeO5,3.0899
CsB5(H2O3)4,5.6249
Na3Ni2SbO6,2.3299
PH3W(CO)5,2.8337
U(NO7)2,0.15490000000000004
ZnCoMo2O7,1.1320000000000001
K4Mo3H4O17,2.4422
Lu4Al2O9,4.5421
CdH4NCl3,3.5397
K2InP2S7,1.8702
Mn2SiSe4,0.08139999999999993
Ba3UIn2O9,1.5067
BeCuBr,0.07699999999999996
Li4Mn3Fe(PO4)4,3.5660000000000003
Li2Cr(SiO3)2,1.5998
BaP3,0.5735000000000001
Li4Mn5O10,0.4367999999999999
Ca2Zn3Si3PbO12,3.7124
Sr3TiNb4O15,1.9831
CaAs2H6F18,4.9837
Sr5Al11TlSi13O48,2.958
ReTe5O6F25,2.1627
TlRe6Se8Cl3,1.4347
Dy2SeOF2,2.8557
BaV2H2Se2O11,1.6973
Li3NiOF3,1.9121
Fe2P2O7,3.6939
Rb2LaAuCl6,2.2795
Ca2CeO4,2.161
Ba2Li3NbN4,2.3632000000000004
Tl(BH)6,4.526999999999999
CdH9C3SBrCl2O,3.7799
K2B6H5NO2,1.7886000000000002
YBi(WO4)2,1.779
Na2OsO8,0.3809
SbCl4F,1.3762
RbAlCl4,5.2353000000000005
Ba7Ti2Nb4O21,2.5685
LiNd(PN2)4,3.4941000000000004
Zn2SeS,1.4855
Nd4Ga2O9,3.6013
Li3Nb2CrO6,0.35299999999999976
Ho(PO3)3,5.6605
CsMgFeF6,3.4628
ZrNO6,0.5927999999999999
SiH6(NF2)2,6.5941
CdPd(CN)6,4.0255
ZnH16C6S2(N2Cl)2,4.1405
Li5V3(NiO5)2,1.2491000000000003
Ba2Y2CuPtO8,0.2261000000000002
Li7Ni5O12,0.5288999999999997
Ba2CaY(Co4O7)2,0.6261000000000001
Li2MnCr2O6,0.6147
Li3Co2O5,0.6320000000000001
FeTe6O13,2.3469999999999995
Be3Cr2(SiO4)3,1.8222
Cs2LiLuCl6,5.3389
MoF3,3.5743
Tm2TeO2,0.4430999999999994
CrI3,1.0587
FeAuO2,0.6094000000000004
Ta24Cu13O72,0.0020999999999999908
SnF4,3.0953
BaEu2NiO5,0.002299999999999969
Cs3MnCl5,2.8967
Li4Ti3Fe3(NiO8)2,0.01529999999999987
Lu2ScV3O9,1.5885999999999996
Li19V8(BO3)16,0.5451000000000001
LiNiRhF6,1.7108
Na2LiFe(Si2O5)3,3.3919
Li5MnCr3O8,2.0957000000000003
Hg3TeCl4,2.2498
CsYSeCl2O3,4.4032
Li22(Cu3Si2)7,0.04870000000000019
Li4Y3CrO8,3.2591
Mg149Al,0.5011000000000001
BaMg2H8Ru,1.9107
Tb(NO5)3,0.6003000000000001
K4UC2O11,0.7930999999999999
NaCaB5(H7O4)3,0.7127
Na5(WO3)7,0.16290000000000004
Li2VFeO5,1.8911
La8Sb2Se15,1.5416999999999996
VCu3HgSe4,0.5186999999999999
KHo2F7,6.916099999999999
TbSeClO3,4.3781
CaTa2CoO7,2.6655
Sr2Sn,0.15569999999999995
Mg2TaMoO6,2.0446
LiMnOF2,0.9908
S2N2O,1.916
CaTlBr3,3.8826
MgFe3(P2O7)2,3.2309
BaAuCl,2.1963
LiLa2Ti2CrO9,2.2594000000000003
K4MoO5,3.1594
Fe3Sb5(IO3)3,2.5056
Ba4Al3Cu2F21,0.6525000000000001
RbLaZr6FeCl18,1.6130999999999998
Ba2Tm2CuPtO8,0.2467999999999999
Ba2InBiS5,1.4485000000000006
LaB5IO11,1.2459000000000002
Ca3Lu2(GeO4)3,3.2977
KNaMo2O5,0.4452999999999996
Na3Fe2(AsO4)3,2.1857
MnFeNF6,1.8884
Ta6Cd(Br8O9)2,0.0866
Rb2PdSe2,0.889
Ca6Co3RhO12,0.12099999999999955
Sr3La3Zn2RuO12,0.4637000000000002
TiBi2O5,2.5795000000000003
GdSF,1.0983999999999998
KNd(WO4)2,3.8022
Hg7(P2Br3)2,1.6505
Zn3Sn2O7,1.9487000000000003
Na3YCl6,5.2756
Rb2U(N2O7)2,1.7696
RbU2F9,0.07169999999999987
Li2FeSn(PO4)2,3.1065
In7Cl9,2.1903000000000006
Li8Mn15NiO32,0.5663
BaNaH3Pd,1.4378000000000002
Ba3GeO,0.3709000000000002
Tl4V2O7,2.6066000000000003
Sm2VFeO6,1.2710999999999997
Sr4Nd3Ta2Al5O21,3.202
Na12SnGe8,0.32910000000000017
P3Pb5ClO12,3.3891000000000004
K5MoC7N7O,0.7894
BaZrP2,0.10430000000000028
K2SbPO6,2.5161
Ti3FeNi2(PO4)6,0.6998000000000002
MgS,2.7628000000000004
Na3LiMn5O9,0.5640000000000001
KI(OF)2,4.1474
KUO3,0.4454000000000001
KCa2Mg2V3O12,3.2828000000000004
SrLiCoF6,2.1993
Na4Cu(AsO4)2,0.6881000000000002
BaSr11Al4(O4F)4,4.0861
VSb(PO4)2,1.9271
LiLu(WO4)2,3.7979
Ba3SiO5,3.5354
VH20C2S2N6O13,3.0467
SrRe3Se4O11,0.0040000000000000036
Sr2YAlCr2O7,1.3326000000000002
Ba3La3Mn2(WO6)3,1.4413999999999998
Sr3Sn2O7,2.1597
LiMn2OF3,1.9013
Zr(TeCl6)2,3.0734
Tb2MgSe4,1.2328
Cs3Mo2I9,0.9283
NaPrPCO7,0.1574000000000001
H2C3O4,3.4866
Ca(ClO2)2,2.5666
RbAs2H5O8,3.8425
KNa3H4,2.9382
Cs4Zn3F10,4.6801
Rb2AsAuF6,0.8079
CsRb2AsCl6,3.4004000000000003
TeW2Se3,0.033199999999999896
TaNb2Zn2O8,0.03289999999999972
Ca3YMn3B4O15,1.379
HgH16C6(N2Cl)2,3.7758
Cs2Mn2Be3F12,4.9566
